date,ping,download,upload,server
2015-09-05 00:09:46,96.5,25.609,5.558,aus.speedtest.sbcglobal.net
2015-09-05 01:09:04,122.6,23.675,4.714,aus-speedtest.grandecom.net
2015-09-05 01:09:44,99.3,29.029,5.49,aus.speedtest.sbcglobal.net
2015-09-05 02:09:13,103.7,29.147,5.812,aus.speedtest.sbcglobal.net
2015-09-05 02:09:20,122.3,23.162,5.126,aus-speedtest.grandecom.net
2015-09-05 03:09:35,96.1,24.373,5.419,aus.speedtest.sbcglobal.net
2015-09-05 03:09:97,97.5,27.556,5.393,aus.speedtest.sbcglobal.net
2015-09-05 04:09:14,97,28.149,5.29,aus.speedtest.sbcglobal.net
2015-09-05 04:09:57,109,24.219,5.439,speedtest05.suddenlink.net
2015-09-05 05:09:62,123.3,24.881,5.349,aus-speedtest.grandecom.net
2015-09-05 05:09:35,123.1,27.754,5.714,aus.speedtest.sbcglobal.net
2015-09-05 06:09:88,122,23.099,4.974,speed.ecpi.com
2015-09-05 06:09:55,98.6,31.178,6.042,aus.speedtest.sbcglobal.net
2015-09-05 07:09:38,106,19.721,5.008,aus.speedtest.sbcglobal.net
2015-09-05 07:09:99,98.1,27.405,5.364,aus.speedtest.sbcglobal.net
2015-09-05 08:09:90,106.6,26.453,5.398,aus.speedtest.sbcglobal.net
2015-09-05 08:09:58,106.6,31.294,5.403,aus.speedtest.sbcglobal.net
2015-09-05 09:09:44,116.1,25.186,5.326,speed.ecpi.com
2015-09-05 09:09:25,118.5,28.784,5.337,speed.ecpi.com
2015-09-05 10:09:20,106,18.056,4.838,aus.speedtest.sbcglobal.net
2015-09-05 10:09:23,114.1,25.164,5.313,speed.ecpi.com
2015-09-05 11:09:61,106.4,32.969,5.54,aus.speedtest.sbcglobal.net
2015-09-05 11:09:00,123.1,27.493,4.932,aus.speedtest.sbcglobal.net
2015-09-05 12:09:62,107.3,25.875,4.69,aus.speedtest.sbcglobal.net
2015-09-05 12:09:21,96.8,35.312,5.78,aus.speedtest.sbcglobal.net
2015-09-05 13:09:39,106.9,32.968,5.528,aus.speedtest.sbcglobal.net
2015-09-05 13:09:86,104.6,34.278,5.447,aus.speedtest.sbcglobal.net
2015-09-05 14:09:57,107.5,32.465,5.351,aus.speedtest.sbcglobal.net
2015-09-05 14:09:38,125.4,20.532,5.29,speed.ecpi.com
